categoria,nombre,precio_oferta,precio_regular,enlace
"Carnes, Aves y Mariscos",Palomilla en Bloque Fresco Empacado 650gr,,530.00 USD (x1),https://www.smrey.com/p/palomilla-bloque-fresco-empacado-650gr-209225000004
"Carnes, Aves y Mariscos",Punta Palomilla Entera Empacada 875gr,,1148.00 USD (x1),https://www.smrey.com/p/punta-palomilla-entera-empacada-875gr-201643000000
"Carnes, Aves y Mariscos",Punta de Palomilla Premium Choice Empacado 1.5k,,2510.00 USD (x1),https://www.smrey.com/p/punta-de-palomilla-premium-choice-empacado-15kg-208641000001
"Carnes, Aves y Mariscos",Punta de Rincón Premium Choice Empacado 1.2kg,,1051.00 USD (x1),https://www.smrey.com/p/punta-de-rincon-premium-choice-empacado-12kg-207691000009
"Carnes, Aves y Mariscos",Carne Molida 5% Premium Choice Empacado 800gr,,767.00 USD (x1),https://www.smrey.com/p/carne-molida-5-premium-choice-empacado-800gr-200245000005
"Carnes, Aves y Mariscos",New York Steak Premium Choice Empacado 675gr,,1016.00 USD (x1),https://www.smrey.com/p/new-york-steak-premium-choice-empacado-675gr-201733000002
"Carnes, Aves y Mariscos",Carne Molida 15% Premium Choice Empacada 750gr,,692.00 USD (x1),https://www.smrey.com/p/carne-molida-15-premium-choice-empacada-750gr-200244000006
"Carnes, Aves y Mariscos",Lomo de Res 1/2 Empacado 1.4kg,,1112.00 USD (x1),https://www.smrey.com/p/lomo-de-res-12-empacado-14kg-200099000008
"Carnes, Aves y Mariscos",Pecho Premium Choice Empacado 625gr,,239.00 USD (x1),https://www.smrey.com/p/pecho-premium-choice-empacado-625gr-200266000008
"Carnes, Aves y Mariscos",Carne Molida de Primera Premium Choice Empacada,,332.00 USD (x1),https://www.smrey.com/p/carne-molida-de-primera-premium-choice-empacada-700gr-200238000005
"Carnes, Aves y Mariscos",Combo Parrillero Premium Choice Premium Und,,1685.00 USD (x1),https://www.smrey.com/p/combo-parrillero-premium-choice-premium-und-208752000006
"Carnes, Aves y Mariscos",Strip Loin Steak Premium Choice Empacado 700gr,,1042.00 USD (x1),https://www.smrey.com/p/strip-loin-steak-premium-choice-empacado-700gr-201735000000
"Carnes, Aves y Mariscos",Pulpa Negra en Cuarto Fresco Empacada 950gr,,807.00 USD (x1),https://www.smrey.com/p/pulpa-negra-cuarto-fresco-empacada-950gr-209218000004
"Carnes, Aves y Mariscos",Rabo de Res Empacado 1.650kg,,870.00 USD (x1),https://www.smrey.com/p/rabo-de-res-empacado-1650kg-200024000004
"Carnes, Aves y Mariscos",Strip Loin para Parrilla Premium Choice Empacad,,3088.00 USD (x1),https://www.smrey.com/p/strip-loin-parrilla-premium-choice-empacado-2075kg-200529000004
"Carnes, Aves y Mariscos",Entraña Interna Certified Angus Beef Empacada 4,,1618.00 USD (x1),https://www.smrey.com/p/entrana-interna-certified-angus-beef-empacada-400gr-209864000007
"Carnes, Aves y Mariscos",New York Strip Certified Angus Beef Empacada 35,,1917.00 USD (x1),https://www.smrey.com/p/new-york-strip-certified-angus-beef-empacada-350gr-202816000001
"Carnes, Aves y Mariscos",Ribeye Certified Angus Beef Empacado 350gr,,2149.00 USD (x1),https://www.smrey.com/p/ribeye-certified-angus-beef-empacado-350gr-202815000002
"Carnes, Aves y Mariscos",Entraña Certified Angus Beef Empacada 400gr,,2729.00 USD (x1),https://www.smrey.com/p/entrana-certified-angus-beef-empacada-400gr-202813000004
"Carnes, Aves y Mariscos",Hamburguesas Certified Angus Beef Dúo Pack Empa,,867.00 USD (x1),https://www.smrey.com/p/hamburguesas-certified-angus-beef-duo-pack-empacadas-425gr-202814000003
"Carnes, Aves y Mariscos",Media Cinta Sin Hueso Empacado 2kg,,1866.00 USD (x1),https://www.smrey.com/p/media-cinta-sin-hueso-empacado-2kg-200119000001
"Carnes, Aves y Mariscos",Ropa Vieja Premium Choice al Granel,,77.00 USD (x1),https://www.smrey.com/p/ropa-vieja-premium-choice-al-granel-208950000006
"Carnes, Aves y Mariscos",Bistec Picado Premium Choice al Granel,,84.00 USD (x1),https://www.smrey.com/p/bistec-picado-premium-choice-al-granel-206401000001
"Carnes, Aves y Mariscos",Guisado de Res Premium Choice al Granel,,88.00 USD (x1),https://www.smrey.com/p/guisado-de-res-premium-choice-al-granel-206411000008
"Carnes, Aves y Mariscos",New York Parrilla Premium Choice al Granel,,516.00 USD (x1),https://www.smrey.com/p/new-york-parrilla-premium-choice-al-granel-206282000008
"Carnes, Aves y Mariscos",Rincón Premium Choice al Granel,,186.00 USD (x1),https://www.smrey.com/p/rincon-premium-choice-al-granel-200526000007
"Carnes, Aves y Mariscos",Pulpa Negra Premium Choice al Granel,,177.00 USD (x1),https://www.smrey.com/p/pulpa-negra-premium-choice-al-granel-200524000009
"Carnes, Aves y Mariscos",Carne para Sopa Premium Choice al Granel,,152.00 USD (x1),https://www.smrey.com/p/carne-sopa-premium-choice-al-granel-206405000007
"Carnes, Aves y Mariscos",Babilla Premium Choice al Granel,,205.00 USD (x1),https://www.smrey.com/p/babilla-premium-choice-al-granel-200152000006
"Carnes, Aves y Mariscos",Costillón Premium Choice al Granel,,251.00 USD (x1),https://www.smrey.com/p/costillon-premium-choice-al-granel-200155000003
"Carnes, Aves y Mariscos",Falda de Res Gruesa Premium Choice al Granel,,68.00 USD (x1),https://www.smrey.com/p/falda-de-res-gruesa-premium-choice-al-granel-206409000003
"Carnes, Aves y Mariscos",Jarrete Premium Choice al Granel,,72.00 USD (x1),https://www.smrey.com/p/jarrete-premium-choice-al-granel-206412000007
"Carnes, Aves y Mariscos",Costilla Especial Premium Choice al Granel,,524.00 USD (x1),https://www.smrey.com/p/costilla-especial-premium-choice-al-granel-206407000005
"Carnes, Aves y Mariscos",Filete de Res Premium Choice al Granel,,2920.00 USD (x1),https://www.smrey.com/p/filete-de-res-premium-choice-al-granel-200160000005
"Carnes, Aves y Mariscos",Lomo Redondo Premium Choice al Granel,,85.00 USD (x1),https://www.smrey.com/p/lomo-redondo-premium-choice-al-granel-200156000002
"Carnes, Aves y Mariscos",Falda de Res Limpia Premium Choice al Granel,,65.00 USD (x1),https://www.smrey.com/p/falda-de-res-limpia-premium-choice-al-granel-206408000004
"Carnes, Aves y Mariscos",Bistec de Pulpa Blanca Premium Choice Empacado,,669.00 USD (x1),https://www.smrey.com/p/bistec-de-pulpa-blanca-premium-choice-empacado-700gr-200341000008
"Carnes, Aves y Mariscos",Bistec de Pulpa Negra Premium Choice Empacado 7,,621.00 USD (x1),https://www.smrey.com/p/bistec-de-pulpa-negra-premium-choice-empacado-700gr-200342000007
"Carnes, Aves y Mariscos",Bistec de Palomilla Premium Choice Empacado 675,,558.00 USD (x1),https://www.smrey.com/p/bistec-de-palomilla-premium-choice-empacado-675gr-200340000009
"Carnes, Aves y Mariscos",Entraña de Res Premium Choice Empacado 650gr,,1381.00 USD (x1),https://www.smrey.com/p/entrana-de-res-premium-choice-empacado-650gr-201730000005
"Carnes, Aves y Mariscos",Bistec de Rincón Premium Choice Empacado 650gr,,605.00 USD (x1),https://www.smrey.com/p/bistec-de-rincon-premium-choice-empacado-650gr-200344000005
"Carnes, Aves y Mariscos",Costilla Especial Premium Choice Empacada 775gr,,477.00 USD (x1),https://www.smrey.com/p/costilla-especial-premium-choice-empacada-775gr-200254000003
"Carnes, Aves y Mariscos",Costillón Premium Choice Empacado 650gr,,652.00 USD (x1),https://www.smrey.com/p/costillon-premium-choice-empacado-650gr-200256000001
"Carnes, Aves y Mariscos",Cowboy de Res Premium Choice Empacado 1.35kg,,1337.00 USD (x1),https://www.smrey.com/p/cowboy-de-res-premium-choice-empacado-135kg-209995000006
"Carnes, Aves y Mariscos",Carne Molida Magra 2% Premium Choice Empacada 8,,854.00 USD (x1),https://www.smrey.com/p/carne-molida-magra-2-premium-choice-empacada-800gr-200118000002
"Carnes, Aves y Mariscos",Bistec de Cinta sin Hueso Premium Choice Empaca,,754.00 USD (x1),https://www.smrey.com/p/bistec-de-cinta-sin-hueso-premium-choice-empacada-800gr-209259000001
"Carnes, Aves y Mariscos",Shoulder sin Hueso Premium Choice Empacada 500g,,445.00 USD (x1),https://www.smrey.com/p/shoulder-sin-hueso-premium-choice-empacada-500gr-209261000006
"Carnes, Aves y Mariscos",Ropa Vieja Premium Choice Empacada 600gr,,462.00 USD (x1),https://www.smrey.com/p/ropa-vieja-premium-choice-empacada-600gr-200145000006
"Carnes, Aves y Mariscos",Asado de Res Premium Choice Empacado 1.45kg,,1595.00 USD (x1),https://www.smrey.com/p/asado-de-res-premium-choice-empacado-145kg-208629000009
"Carnes, Aves y Mariscos",Porter House Premium Choice Empacado 725gr,,759.00 USD (x1),https://www.smrey.com/p/porter-house-premium-choice-empacado-725gr-200951000009
"Carnes, Aves y Mariscos",Fajitas de Res Premium Choice Empacado 750gr,,645.00 USD (x1),https://www.smrey.com/p/fajitas-de-res-premium-choice-empacado-750gr-200124000003
"Carnes, Aves y Mariscos",Tomahawk Premium Choice Empacado 1kg,,880.00 USD (x1),https://www.smrey.com/p/tomahawk-premium-choice-empacado-1kg-200953000007
"Carnes, Aves y Mariscos",Filete Premium Choice Empacado 1.41kg,,3167.00 USD (x1),https://www.smrey.com/p/filete-premium-choice-empacado-141kg-207783000009
"Carnes, Aves y Mariscos",Bistec de Babilla Premium Choice Empacado 725gr,,552.00 USD (x1),https://www.smrey.com/p/bistec-de-babilla-premium-choice-empacado-725gr-200253000004
"Carnes, Aves y Mariscos",Rib Eye Steak Premium Choice Empacado 650gr,,967.00 USD (x1),https://www.smrey.com/p/rib-eye-steak-premium-choice-empacado-650gr-201734000001
"Carnes, Aves y Mariscos",Falda Gruesa Premium Choice Empacada 700gr,,475.00 USD (x1),https://www.smrey.com/p/falda-gruesa-premium-choice-empacada-700gr-200275000006
"Carnes, Aves y Mariscos",Cubos de Filete de Res Premium Choice Empacado,,516.00 USD (x1),https://www.smrey.com/p/cubos-de-filete-de-res-premium-choice-empacado-600gr-203256000002
"Carnes, Aves y Mariscos",Medallones de Filete Premium Choice Empacado 70,,1875.00 USD (x1),https://www.smrey.com/p/medallones-de-filete-premium-choice-empacado-700gr-201732000003
"Carnes, Aves y Mariscos",Bistec de Cinta con Hueso Premium Choice Empaca,,398.00 USD (x1),https://www.smrey.com/p/bistec-de-cinta-con-hueso-premium-choice-empacada-600gr-200347000002
"Carnes, Aves y Mariscos",Carne para Sopa Premium Choice Empacada 550gr,,279.00 USD (x1),https://www.smrey.com/p/carne-sopa-premium-choice-empacada-550gr-200274000007
"Carnes, Aves y Mariscos",Jarrete Especial Premium Choice Empacado 700gr,,506.00 USD (x1),https://www.smrey.com/p/jarrete-especial-premium-choice-empacado-700gr-200261000003
"Carnes, Aves y Mariscos",Lomo Redondo Premium Choice Empacado 600gr,,509.00 USD (x1),https://www.smrey.com/p/lomo-redondo-premium-choice-empacado-600gr-200265000009
"Carnes, Aves y Mariscos",Punta Palomilla Parrilla Premium Choice al Gran,,1898.00 USD (x1),https://www.smrey.com/p/punta-palomilla-parrilla-premium-choice-al-granel-206279000004
"Carnes, Aves y Mariscos",Pulpa Blanca Premium Choice al Granel,,191.00 USD (x1),https://www.smrey.com/p/pulpa-blanca-premium-choice-al-granel-200521000002
"Carnes, Aves y Mariscos",Palomilla Premium Choice al Granel,,186.00 USD (x1),https://www.smrey.com/p/palomilla-premium-choice-al-granel-200520000003
"Carnes, Aves y Mariscos",Carne para Freír Premium Choice Empacada 600gr,,404.00 USD (x1),https://www.smrey.com/p/carne-freir-premium-choice-empacada-600gr-200239000004
"Carnes, Aves y Mariscos",Lomo de Res 1/2 Premium Choice Empacado 1.125kg,,984.00 USD (x1),https://www.smrey.com/p/lomo-de-res-12-premium-choice-empacado-1125kg-208799000007
"Carnes, Aves y Mariscos",Cinta sin Hueso Premium Choice al Granel,,323.00 USD (x1),https://www.smrey.com/p/cinta-sin-hueso-premium-choice-al-granel-200158000000
"Carnes, Aves y Mariscos",Entraña Parrilla Premium Choice al Granel,,837.00 USD (x1),https://www.smrey.com/p/entrana-parrilla-premium-choice-al-granel-206280000000
"Carnes, Aves y Mariscos",T-Bone Premium Choice Empacado 500gr,,491.00 USD (x1),https://www.smrey.com/p/t-bone-premium-choice-empacado-500gr-200952000008
"Carnes, Aves y Mariscos",Asado de Tira Premium Choice Empacado 1.2kg,,976.00 USD (x1),https://www.smrey.com/p/asado-de-tira-premium-choice-empacado-12kg-208772000000
"Carnes, Aves y Mariscos",Entraña Outside Skirt Riquezas Del Campo Empaca,,2405.00 USD (x1),https://www.smrey.com/p/entrana-outside-skirt-riquezas-del-campo-empacado-283gr-726798263013
"Carnes, Aves y Mariscos",Hamburguesa de Carne Certified Angus Beef 8und,,794.00 USD (x1),https://www.smrey.com/p/hamburguesa-de-carne-certified-angus-beef-8und-7452102280010
"Carnes, Aves y Mariscos",Carne Molida Especial 15% al Granel,,90.00 USD (x1),https://www.smrey.com/p/carne-molida-especial-15-al-granel-209022000009
"Carnes, Aves y Mariscos",Carne Molida Especial 5% al Granel,,95.00 USD (x1),https://www.smrey.com/p/carne-molida-especial-5-al-granel-200117000003
"Carnes, Aves y Mariscos",Carne Molida Magra 2% al Granel,,103.00 USD (x1),https://www.smrey.com/p/carne-molida-magra-2-al-granel-204118000000
"Carnes, Aves y Mariscos",Lomo de Res Entero Empacado 2.5kg,,1985.00 USD (x1),https://www.smrey.com/p/lomo-de-res-entero-empacado-25kg-200106000007
"Carnes, Aves y Mariscos",Shoulder 1/2 Empacado 1.1kg,,959.00 USD (x1),https://www.smrey.com/p/shoulder-12-empacado-11kg-201634000002
"Carnes, Aves y Mariscos",Palomilla 1/2 Empacada 3.75kg,,3056.00 USD (x1),https://www.smrey.com/p/palomilla-12-empacada-375kg-200103000000
"Carnes, Aves y Mariscos",Bistec de Cinta con Hueso Premium Choice al Gra,,166.00 USD (x1),https://www.smrey.com/p/bistec-de-cinta-con-hueso-premium-choice-al-granel-200059000000
"Carnes, Aves y Mariscos",Petite Tender Certified Angus Beef Empacado 375,,1320.00 USD (x1),https://www.smrey.com/p/petite-tender-certified-angus-beef-empacado-375gr-200580000005
"Carnes, Aves y Mariscos",Jarrete al Granel,,71.00 USD (x1),https://www.smrey.com/p/jarrete-al-granel-209917000008
"Carnes, Aves y Mariscos",Sopero Empacado 1.4kg,,293.00 USD (x1),https://www.smrey.com/p/sopero-empacado-14kg-208936000006
