categoria,nombre,precio_oferta,precio_regular,enlace
Supermercado,Pollo Entero Empacado Pilgrims|Por Kilo,260.00 USD (x1),260.00 USD (x1),https://www.elmachetazo.com/pollo-entero-empacado-pilgrimspor-kilo-10556027/p
Supermercado,Huevo Mediano Empacado|30 Unidades,603.00 USD (x1),603.00 USD (x1),https://www.elmachetazo.com/huevo-mediano-empacado30-unidades-10833971/p
Supermercado,Agua Embotellada Golden Selection|1 Galón,125.00 USD (x1),125.00 USD (x1),https://www.elmachetazo.com/agua-mineral-golden-selection-1-galon-10797330/p
Supermercado,Agua Mineral Golden Selection 600ml,21.00 USD (x1),21.00 USD (x1),https://www.elmachetazo.com/agua-mineral-golden-selection-600ml-10797326/p
Supermercado,Aceite de Girasol Girol|1 Litro,406.00 USD (x1),406.00 USD (x1),https://www.elmachetazo.com/aceite-girasol-girol-1-litro-10023092/p
Supermercado,Aceite de Oliva Ballester Clásico|500ml,666.00 USD (x1),666.00 USD (x1),https://www.elmachetazo.com/aceite-de-oliva-ballester-500ml-10000932/p
Supermercado,Coditos La Parmigiana 227g,64.00 USD (x1),64.00 USD (x1),https://www.elmachetazo.com/coditos-la-parmigiana-227g-10013107/p
Supermercado,Azúcar Morena Doradita|800g,99.00 USD (x1),115.00 USD (x1),https://www.elmachetazo.com/azucar-morena-doradita-800g-10417531/p
Supermercado,Azúcar Morena Doradita|2 kg,295.00 USD (x1),295.00 USD (x1),https://www.elmachetazo.com/azucar-morena-doradita2-kg-10417535/p
Supermercado,Queso Blanco Prensado La Cholita 200g,255.00 USD (x1),266.00 USD (x1),https://www.elmachetazo.com/queso-blanco-prensado-la-cholita-200g-10466585/p
Supermercado,Arroz Especial Arrossísimo|9 kg,1649.00 USD (x1),1649.00 USD (x1),https://www.elmachetazo.com/arroz-especial-arrosisimo-9kg-10336213-machetazo/p
Supermercado,Papel Toalla Natural 70H Doble Delux 2 und,149.00 USD (x1),190.00 USD (x1),https://www.elmachetazo.com/papel-toalla-natural-70h-doble-delux-2-und-10421759/p
Supermercado,Caldo Pollo Rika's 5Und,50.00 USD (x1),50.00 USD (x1),https://www.elmachetazo.com/caldo-pollo-rikas-5und-10031087/p
Supermercado,Bicarbonato Sodio Levapan 8oz,99.00 USD (x1),99.00 USD (x1),https://www.elmachetazo.com/bicarbonato-sodio-levapan-8oz-10017520/p
Supermercado,Nescafé Dolce Gusto Espresso Intenso|16 Cápsulas,929.00 USD (x1),929.00 USD (x1),https://www.elmachetazo.com/nescafe-dolce-gusto-espresso-intenso-16-capsulas-10416503/p
