categoria,nombre,precio_oferta,precio_regular,enlace
Supermercado,Papas Nacional Por Media Libra,104.00 USD (x1),104.00 USD (x1),https://www.superxtra.com/papas-nacional-por-libra/p
Supermercado,Leche evaporada ideal 314 G,103.00 USD (x1),103.00 USD (x1),https://www.superxtra.com/leche-evaporada-ideal-314-g/p
Supermercado,Azucar Like Morena 800Gr,118.00 USD (x1),118.00 USD (x1),https://www.superxtra.com/azucar-like-morena-800gr-5575329/p
Supermercado,Guineo Por Media Libra,92.00 USD (x1),92.00 USD (x1),https://www.superxtra.com/guineo-por-libra-3-unidades-aproximada-por-libra/p
Supermercado,Leche Uht Estrella Azul 946 ML Entera,161.00 USD (x1),161.00 USD (x1),https://www.superxtra.com/leche-uht-estrella-azul-946-ml-entera-88209970164/p
Supermercado,Muslo Encuentro de Pollo Por Media Libra,208.00 USD (x1),208.00 USD (x1),https://www.superxtra.com/muslo-encuentro-de-pollo-por-libra/p
Supermercado,Zanahoria Por Kilo,149.00 USD (x1),149.00 USD (x1),https://www.superxtra.com/zanahoria-por-libra/p
Supermercado,Tomate Perita Por Media Libra,217.00 USD (x1),217.00 USD (x1),https://www.superxtra.com/tomate-perita-por-libra/p
Supermercado,Puerco Liso Por Media Libra,495.00 USD (x1),495.00 USD (x1),https://www.superxtra.com/puerco-liso-por-libra/p
Supermercado,Pollo Panamá Por Media Libra,220.00 USD (x1),220.00 USD (x1),https://www.superxtra.com/pollo-panama-por-libra/p
Supermercado,Pechuga de Pollo Por Media Libra,206.00 USD (x1),206.00 USD (x1),https://www.superxtra.com/pechuga-de-pollo-por-libra/p
Supermercado,Cebolla Amarilla Nacional Por Media Libra,239.00 USD (x1),239.00 USD (x1),https://www.superxtra.com/cebolla-amarilla-nacional-por-libra/p
Supermercado,Huevos Medianos Like Docena,210.00 USD (x1),210.00 USD (x1),https://www.superxtra.com/huevos-medianos-like-docena/p
Supermercado,Caldo Rika 50 gr De Pollo,49.00 USD (x1),49.00 USD (x1),https://www.superxtra.com/caldo-rika-50-gr-de-pollo/p
Supermercado,Leche Pura Uht Suelta La Chiricana 946 Ml Entera,172.00 USD (x1),172.00 USD (x1),https://www.superxtra.com/leche-pura-uht-suelta-la-chiricana-946-ml-entera/p
Supermercado,Arroz Arrosisimo Especial 2000 gr,331.00 USD (x1),331.00 USD (x1),https://www.superxtra.com/arroz-arrosisimo-2000-gr-especial/p
Supermercado,Aceite De Cocina Trovattore Vegetal 1500 Ml,298.00 USD (x1),298.00 USD (x1),https://www.superxtra.com/aceite-de-cocina-trovattore-1500-ml-vegetal/p
Supermercado,Salchicha First Choice De Pollo 408 g,186.00 USD (x1),186.00 USD (x1),https://www.superxtra.com/salchicha-first-choice-de-pollo-408-g-7451072405799/p
Supermercado,Queso Nestle Americano 24 UN,436.00 USD (x1),436.00 USD (x1),https://www.superxtra.com/queso-nestle-americano-24-un/p
Supermercado,Salchicha Frankfurter First Choice,184.00 USD (x1),184.00 USD (x1),https://www.superxtra.com/salchicha-frankfurter-first-choice-7451072405690/p
Supermercado,Pimenton Largo Por Media Libra,250.00 USD (x1),250.00 USD (x1),https://www.superxtra.com/pimenton-largo-2701141000000/p
Supermercado,Jarrete Sin Hueso Por Libra,563.00 USD (x1),563.00 USD (x1),https://www.superxtra.com/jarrete-sin-hueso-por-libra/p
Supermercado,Muslo de Pollo Por Media Libra,257.00 USD (x1),257.00 USD (x1),https://www.superxtra.com/muslo-de-pollo-por-libra/p
Supermercado,Manzana Gala Por Media Libra,273.00 USD (x1),273.00 USD (x1),https://www.superxtra.com/manzana-gala-por-libra-3-unidades-aproximadas-por-libra/p
Supermercado,Mandarina Importada Por Media Libra,197.00 USD (x1),197.00 USD (x1),https://www.superxtra.com/mandarina-importada-por-libra/p
Supermercado,Tomate 3X3 Por Media Libra,249.00 USD (x1),249.00 USD (x1),https://www.superxtra.com/tomate-3x3-por-libra/p
